name,color
Alphabet City,#73C6B6  
Astoria,#CB4335
Battery Park City,#D5DBDB
Bed-Stuy,#D4EFDF
Boerum Hill,#2E86C1
Brooklyn Heights,#FCF3CF
Brooklyn Navy Yard,#F1948A
Bushwick,#C4C4C4
Central Park,#FFF5EE
Chelsea,#EDC951
Cobble Hill Historic District,#CC333F
Corona,#00A0B0
DUMBO,#9ACD32
Diamond District,#FA8072
Downtown Brooklyn,#2E8B57
East Elmhurst,#FADBD8
East Harlem,#9ACD32
East Village,#F5DEB3
Elmhurst,#A5DFDD
Five Points,#C4C4C4
Flatiron Building,#FFF5EE
Fort Greene,#EDC951
Gowanus,#CC333F
Greenpoint,#00A0B0
Greenwich Village,#9ACD32
Hamilton Heights,#FA8072
Harlem,#2E8B57
Hell's Kitchen,#913B6C
Inwood,#9ACD32
Jackson Heights,#F5DEB3
Jamaica,#4682B4
Kips Bay,#C4C4C4
Koreatown,#FFF5EE
LIC,#F9E79F
Lenox Hill,#CC333F
Lincoln Square,#00A0B0
Lincoln Towers,#9ACD32
Little Italy,#FA8072
Lower East Side,#2E8B57
Manhattanville,#FFFAFA
Midtown West,#9ACD32
Morningside Heights,#F5DEB3
Murray Hill,#4682B4
NoHo,#C4C4C4
NoHo Historic District,#FFF5EE
North Beach,#EDC951
Park Slope,#CC333F
Prospect Heights,#00A0B0
Rego Park,#9ACD32
Rose Hill,#FA8072
SoHo,#2E8B57
Southbridge Towers,#FFFAFA
Steinway,#CB7FB4
Sunnyside Gardens,#F5DEB3
Tribeca,#4682B4
Tudor City,#ADB181
University Village,#FFF5EE
Upper East Side,#DAF7A6
Upper West Side,#E0BDA3
Washington Heights,#C39797
Washington Square Village,#F0B27A
Williamsburg,#E8DAEF
Woodside,#45B39D
Yorkville,#FAE5D3
